Episode: 1: [ 0.27053535  0.03697454 -0.01454803 -0.45932928 -0.92235583 -0.9747702
 -0.55486745 -0.24295755  0.4271715 ] 
Episode: 851: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 861: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 871: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 881: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 891: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 901: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 911: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 921: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 931: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 941: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 951: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 961: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 971: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 981: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 991: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1001: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1011: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1021: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1031: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1041: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1051: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1061: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1071: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1081: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1091: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1101: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1111: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1121: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1131: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1141: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1151: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1161: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1171: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1181: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1191: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1201: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1211: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1221: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1231: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1241: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1251: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1261: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1271: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1281: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1291: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
