Episode: 2701: [-0.07557184 -0.14452627  0.10820388] 
Episode: 2711: [-0.07419334 -0.14494611  0.10748178] 
Episode: 2721: [-0.07254198 -0.14509687  0.10636714] 
Episode: 2731: [-0.07091611 -0.14590158  0.10573418] 
Episode: 2741: [-0.06943549 -0.14671312  0.10521341] 
Episode: 2751: [-0.06720959 -0.14716321  0.10388474] 
Episode: 2761: [-0.06511531 -0.1475755   0.10262604] 
Episode: 2771: [-0.063714   -0.14770722  0.10168137] 
Episode: 2781: [-0.06266006 -0.14661299  0.10012632] 
Episode: 2791: [-0.06114862 -0.14668213  0.09906159] 
Episode: 2801: [-0.06009796 -0.14669813  0.09829883] 
Episode: 2811: [-0.05909017 -0.14703485  0.09779599] 
Episode: 2821: [-0.05761457 -0.14787209  0.09730305] 
Episode: 2831: [-0.05657183 -0.14891826  0.0972788 ] 
Episode: 2841: [-0.05493953 -0.14983638  0.09672773] 
Episode: 2851: [-0.0522419  -0.15093502  0.09551556] 
Episode: 2861: [-0.05057888 -0.14966707  0.09337354] 
Episode: 2871: [-0.04837827 -0.14976902  0.09181106] 
Episode: 2881: [-0.04595986 -0.15113081  0.09098936] 
Episode: 2891: [-0.04440437 -0.1500042   0.08901949] 
Episode: 2901: [-0.04224109 -0.15033634  0.0876492 ] 
Episode: 2911: [-0.03982372 -0.1502845   0.08581251] 
Episode: 2921: [-0.03735132 -0.15153071  0.08487085] 
Episode: 2931: [-0.03675204 -0.15153223  0.08442209] 
Episode: 2941: [-0.03541707 -0.1527632   0.08431714] 
Episode: 2951: [-0.03369419 -0.15317616  0.083322  ] 
Episode: 2961: [-0.03184566 -0.15346491  0.08214296] 
Episode: 2971: [-0.02907855 -0.15394351  0.08041283] 
Episode: 2981: [-0.0265808  -0.15420821  0.07872903] 
Episode: 2991: [-0.02370085 -0.15560555  0.07758431] 
Episode: 3001: [-0.02116497 -0.15578446  0.07580774] 
Episode: 3011: [-0.01945515 -0.15711218  0.07549205] 
Episode: 3021: [-0.01764433 -0.15827917  0.0749832 ] 
Episode: 3031: [-0.01714013 -0.15929331  0.07534686] 
Episode: 3041: [-0.01517844 -0.16070192  0.07490623] 
Episode: 3051: [-0.01368439 -0.15946107  0.07287576] 
Episode: 3061: [-0.01174762 -0.15793751  0.07030273] 
Episode: 3071: [-0.00909872 -0.15778527  0.0682041 ] 
