  9.0308589e-05] 
Episode: 2241: [ 2.10624712e-04  5.69980039e-05 -1.06968815e-04 -5.16916742e-04
  8.48205527e-05] 
Episode: 2251: [ 2.0118985e-04  4.9473620e-05 -1.1301240e-04 -5.2074651e-04
  9.1572481e-05] 
Episode: 2261: [ 1.8060420e-04  2.5188456e-05 -1.3865241e-04 -5.4665888e-04
  1.1564546e-04] 
Episode: 2271: [ 1.7471523e-04  1.6489626e-05 -1.4853578e-04 -5.5791420e-04
  1.2453960e-04] 
Episode: 2281: [ 1.9564314e-04  3.7251870e-05 -1.2741791e-04 -5.3708814e-04
  1.0363061e-04] 
Episode: 2291: [ 2.3054914e-04  7.1931230e-05 -9.3029092e-05 -5.0433778e-04
  6.9430032e-05] 
Episode: 2301: [ 2.3174667e-04  7.2254443e-05 -9.2329006e-05 -5.0354697e-04
  6.8677036e-05] 
Episode: 2311: [ 2.3458376e-04  7.4437157e-05 -9.0778223e-05 -5.0297967e-04
  6.6874309e-05] 
Episode: 2321: [ 2.4880646e-04  8.5168955e-05 -8.2886108e-05 -4.9814524e-04
  5.7382316e-05] 
Episode: 2331: [ 2.7194497e-04  1.0708242e-04 -6.2969979e-05 -4.8103411e-04
  3.6811809e-05] 
Episode: 2341: [ 2.8630806e-04  1.1834674e-04 -5.3166994e-05 -4.7276926e-04
  2.5845011e-05] 
Episode: 2351: [ 2.5828264e-04  9.0516398e-05 -8.1267048e-05 -5.0193851e-04
  5.4114651e-05] 
Episode: 2361: [ 2.7694946e-04  1.1000385e-04 -6.1366103e-05 -4.8236345e-04
  3.4711640e-05] 
Episode: 2371: [ 2.80742213e-04  1.14690454e-04 -5.58235661e-05 -4.76402609e-04
  2.97319639e-05] 
Episode: 2381: [ 2.6042786e-04  9.4873838e-05 -7.5175005e-05 -4.9581623e-04
  4.9462018e-05] 
Episode: 2391: [ 2.4808344e-04  8.2047656e-05 -8.8132867e-05 -5.0951343e-04
  6.2407860e-05] 
Episode: 2401: [ 2.10145517e-04  4.00103709e-05 -1.32381843e-04 -5.56308310e-04
  1.05098516e-04] 
Episode: 2411: [ 1.8924579e-04  1.2862780e-05 -1.6301277e-04 -5.9116498e-04
  1.3338012e-04] 
Episode: 2421: [ 1.9369092e-04  7.7424975e-06 -1.7377513e-04 -6.0827675e-04
  1.4035945e-04] 
Episode: 2431: [ 2.0252328e-04  1.3321063e-05 -1.6882893e-04 -6.0282950e-04
  1.3414152e-04] 
Episode: 2441: [ 1.8221769e-04 -6.9486068e-06 -1.8959337e-04 -6.2349270e-04
  1.5463898e-04] 
Episode: 2451: [ 1.7844043e-04 -9.6069198e-06 -1.9158091e-04 -6.2444422e-04
  1.5700400e-04] 
Episode: 2461: [ 1.8203222e-04 -7.0936399e-06 -1.8989587e-04 -6.2251335e-04
  1.5456343e-04] 
Episode: 2471: [ 2.0053018e-04  1.4201767e-05 -1.6807111e-04 -5.9988350e-04
  1.3352752e-04] 
Episode: 2481: [ 2.22407412e-04  4.15453396e-05 -1.37724754e-04 -5.66022645e-04
  1.05257684e-04] 
Episode: 2491: [ 2.5703438e-04  7.7342018e-05 -1.0142153e-04 -5.2964734e-04
  6.9493020e-05] 
Episode: 2501: [ 2.8694954e-04  1.0525610e-04 -7.4998534e-05 -5.0532311e-04
  4.2305648e-05] 
Episode: 2511: [ 2.6550324e-04  8.3000203e-05 -9.7909295e-05 -5.2958442e-04
  6.5001514e-05] 
Episode: 2521: [ 2.4295923e-04  6.4670850e-05 -1.1334730e-04 -5.4271927e-04
  8.2431608e-05] 
Episode: 2531: [ 2.3005162e-04  5.2195111e-05 -1.2569902e-04 -5.5539672e-04
  9.5034899e-05] 
Episode: 2541: [ 1.8000313e-04  4.7619478e-06 -1.7158732e-04 -6.0061086e-04
  1.4221409e-04] 
Episode: 2551: [ 1.3390234e-04 -4.1410924e-05 -2.1732145e-04 -6.4622954e-04
  1.8812549e-04] 
