Train Episode: 104	Loss: 1.089704	Accuracy: 0.620	MetaParam_1: 0.018384	MetaParam_2: -0.044247	MetaParam_3: 0.010361
Train Episode: 105	Loss: 0.563338	Accuracy: 0.780	MetaParam_1: 0.018416	MetaParam_2: -0.044413	MetaParam_3: 0.010221
Train Episode: 106	Loss: 0.950082	Accuracy: 0.680	MetaParam_1: 0.018431	MetaParam_2: -0.044546	MetaParam_3: 0.010134
Train Episode: 107	Loss: 1.114712	Accuracy: 0.560	MetaParam_1: 0.018502	MetaParam_2: -0.044811	MetaParam_3: 0.009746
Train Episode: 108	Loss: 0.769701	Accuracy: 0.740	MetaParam_1: 0.018531	MetaParam_2: -0.045037	MetaParam_3: 0.009360
Train Episode: 109	Loss: 1.216563	Accuracy: 0.460	MetaParam_1: 0.018565	MetaParam_2: -0.045247	MetaParam_3: 0.009036
Train Episode: 110	Loss: 1.443814	Accuracy: 0.540	MetaParam_1: 0.018613	MetaParam_2: -0.045475	MetaParam_3: 0.008757
Train Episode: 111	Loss: 1.293160	Accuracy: 0.440	MetaParam_1: 0.018635	MetaParam_2: -0.045746	MetaParam_3: 0.008509
Train Episode: 112	Loss: 0.769020	Accuracy: 0.720	MetaParam_1: 0.018655	MetaParam_2: -0.045960	MetaParam_3: 0.008255
Train Episode: 113	Loss: 0.994212	Accuracy: 0.600	MetaParam_1: 0.018689	MetaParam_2: -0.046200	MetaParam_3: 0.008023
Train Episode: 114	Loss: 0.964999	Accuracy: 0.540	MetaParam_1: 0.018712	MetaParam_2: -0.046511	MetaParam_3: 0.007915
Train Episode: 115	Loss: 0.886984	Accuracy: 0.660	MetaParam_1: 0.018737	MetaParam_2: -0.046829	MetaParam_3: 0.007799
Train Episode: 116	Loss: 1.252418	Accuracy: 0.500	MetaParam_1: 0.018746	MetaParam_2: -0.047123	MetaParam_3: 0.007731
Train Episode: 117	Loss: 0.815551	Accuracy: 0.720	MetaParam_1: 0.018754	MetaParam_2: -0.047416	MetaParam_3: 0.007750
Train Episode: 118	Loss: 1.299708	Accuracy: 0.580	MetaParam_1: 0.018763	MetaParam_2: -0.047676	MetaParam_3: 0.007728
Train Episode: 119	Loss: 0.764882	Accuracy: 0.740	MetaParam_1: 0.018782	MetaParam_2: -0.047965	MetaParam_3: 0.007564
Train Episode: 120	Loss: 1.118655	Accuracy: 0.560	MetaParam_1: 0.018807	MetaParam_2: -0.048299	MetaParam_3: 0.007478
Train Episode: 121	Loss: 0.380218	Accuracy: 0.880	MetaParam_1: 0.018819	MetaParam_2: -0.048639	MetaParam_3: 0.007445
Train Episode: 122	Loss: 0.377528	Accuracy: 0.860	MetaParam_1: 0.018851	MetaParam_2: -0.049000	MetaParam_3: 0.007459
Train Episode: 123	Loss: 0.937992	Accuracy: 0.600	MetaParam_1: 0.018892	MetaParam_2: -0.049348	MetaParam_3: 0.007485
Train Episode: 124	Loss: 1.208754	Accuracy: 0.500	MetaParam_1: 0.018924	MetaParam_2: -0.049719	MetaParam_3: 0.007540
Train Episode: 125	Loss: 1.348374	Accuracy: 0.480	MetaParam_1: 0.018933	MetaParam_2: -0.050083	MetaParam_3: 0.007669
Train Episode: 126	Loss: 0.956011	Accuracy: 0.600	MetaParam_1: 0.018917	MetaParam_2: -0.050376	MetaParam_3: 0.007730
Train Episode: 127	Loss: 1.046387	Accuracy: 0.500	MetaParam_1: 0.018887	MetaParam_2: -0.050670	MetaParam_3: 0.007824
Train Episode: 128	Loss: 0.682829	Accuracy: 0.720	MetaParam_1: 0.018846	MetaParam_2: -0.050937	MetaParam_3: 0.007938
Train Episode: 129	Loss: 1.423190	Accuracy: 0.440	MetaParam_1: 0.018774	MetaParam_2: -0.051153	MetaParam_3: 0.008077
Train Episode: 130	Loss: 1.006296	Accuracy: 0.680	MetaParam_1: 0.018705	MetaParam_2: -0.051363	MetaParam_3: 0.008222
Train Episode: 131	Loss: 1.316427	Accuracy: 0.560	MetaParam_1: 0.018594	MetaParam_2: -0.051591	MetaParam_3: 0.008356
Train Episode: 132	Loss: 0.420042	Accuracy: 0.820	MetaParam_1: 0.018418	MetaParam_2: -0.051662	MetaParam_3: 0.008622
Train Episode: 133	Loss: 0.714149	Accuracy: 0.700	MetaParam_1: 0.018232	MetaParam_2: -0.051737	MetaParam_3: 0.008873
Train Episode: 134	Loss: 0.996877	Accuracy: 0.640	MetaParam_1: 0.018089	MetaParam_2: -0.051801	MetaParam_3: 0.009082
Train Episode: 135	Loss: 1.045437	Accuracy: 0.500	MetaParam_1: 0.017967	MetaParam_2: -0.051824	MetaParam_3: 0.009271
Train Episode: 136	Loss: 0.834597	Accuracy: 0.620	MetaParam_1: 0.017812	MetaParam_2: -0.051819	MetaParam_3: 0.009465
Train Episode: 137	Loss: 1.181732	Accuracy: 0.560	MetaParam_1: 0.017650	MetaParam_2: -0.051815	MetaParam_3: 0.009657
Train Episode: 138	Loss: 1.160934	Accuracy: 0.480	MetaParam_1: 0.017505	MetaParam_2: -0.051836	MetaParam_3: 0.009810
Train Episode: 139	Loss: 0.715039	Accuracy: 0.740	MetaParam_1: 0.017405	MetaParam_2: -0.051913	MetaParam_3: 0.009908
Train Episode: 140	Loss: 0.947609	Accuracy: 0.580	MetaParam_1: 0.017312	MetaParam_2: -0.051983	MetaParam_3: 0.009952
Train Episode: 141	Loss: 0.851160	Accuracy: 0.680	MetaParam_1: 0.017259	MetaParam_2: -0.051919	MetaParam_3: 0.010102
Train Episode: 142	Loss: 0.623852	Accuracy: 0.820	MetaParam_1: 0.017223	MetaParam_2: -0.051820	MetaParam_3: 0.010196
Train Episode: 143	Loss: 1.074623	Accuracy: 0.480	MetaParam_1: 0.017191	MetaParam_2: -0.051761	MetaParam_3: 0.010271
Train Episode: 144	Loss: 0.804947	Accuracy: 0.700	MetaParam_1: 0.017140	MetaParam_2: -0.051744	MetaParam_3: 0.010361
Train Episode: 145	Loss: 0.808023	Accuracy: 0.680	MetaParam_1: 0.017070	MetaParam_2: -0.051759	MetaParam_3: 0.009803
Train Episode: 146	Loss: 1.210616	Accuracy: 0.520	MetaParam_1: 0.017038	MetaParam_2: -0.051804	MetaParam_3: 0.009290
Train Episode: 147	Loss: 0.391761	Accuracy: 0.920	MetaParam_1: 0.016973	MetaParam_2: -0.051899	MetaParam_3: 0.008833
Train Episode: 148	Loss: 0.863246	Accuracy: 0.660	MetaParam_1: 0.016932	MetaParam_2: -0.052030	MetaParam_3: 0.008447
Train Episode: 149	Loss: 1.780985	Accuracy: 0.460	MetaParam_1: 0.016939	MetaParam_2: -0.052213	MetaParam_3: 0.008153
Train Episode: 150	Loss: 1.180446	Accuracy: 0.460	MetaParam_1: 0.016827	MetaParam_2: -0.052231	MetaParam_3: 0.007805
Train Episode: 151	Loss: 0.450824	Accuracy: 0.800	MetaParam_1: 0.016715	MetaParam_2: -0.052274	MetaParam_3: 0.007502
Train Episode: 152	Loss: 0.577207	Accuracy: 0.840	MetaParam_1: 0.016634	MetaParam_2: -0.052332	MetaParam_3: 0.007225
Train Episode: 153	Loss: 1.073542	Accuracy: 0.580	MetaParam_1: 0.016564	MetaParam_2: -0.052385	MetaParam_3: 0.007004
Train Episode: 154	Loss: 1.340197	Accuracy: 0.440	MetaParam_1: 0.016533	MetaParam_2: -0.052491	MetaParam_3: 0.006855
Train Episode: 155	Loss: 0.523635	Accuracy: 0.820	MetaParam_1: 0.016472	MetaParam_2: -0.052572	MetaParam_3: 0.006721
Train Episode: 156	Loss: 0.898305	Accuracy: 0.640	MetaParam_1: 0.016442	MetaParam_2: -0.052660	MetaParam_3: 0.006609
Train Episode: 157	Loss: 1.033615	Accuracy: 0.660	MetaParam_1: 0.016430	MetaParam_2: -0.052796	MetaParam_3: 0.006543
Train Episode: 158	Loss: 1.017793	Accuracy: 0.600	MetaParam_1: 0.016420	MetaParam_2: -0.052881	MetaParam_3: 0.006531
Train Episode: 159	Loss: 1.232043	Accuracy: 0.360	MetaParam_1: 0.016422	MetaParam_2: -0.053006	MetaParam_3: 0.006556
Train Episode: 160	Loss: 0.563369	Accuracy: 0.760	MetaParam_1: 0.016416	MetaParam_2: -0.053190	MetaParam_3: 0.006675
Train Episode: 161	Loss: 1.100164	Accuracy: 0.540	MetaParam_1: 0.016424	MetaParam_2: -0.053434	MetaParam_3: 0.006840
Train Episode: 162	Loss: 1.002545	Accuracy: 0.600	MetaParam_1: 0.016439	MetaParam_2: -0.053542	MetaParam_3: 0.007179
Train Episode: 163	Loss: 1.192733	Accuracy: 0.480	MetaParam_1: 0.016361	MetaParam_2: -0.053543	MetaParam_3: 0.007512
Train Episode: 164	Loss: 1.467419	Accuracy: 0.560	MetaParam_1: 0.016249	MetaParam_2: -0.053581	MetaParam_3: 0.007821
Train Episode: 165	Loss: 0.728818	Accuracy: 0.740	MetaParam_1: 0.016166	MetaParam_2: -0.053667	MetaParam_3: 0.008098
Train Episode: 166	Loss: 0.940974	Accuracy: 0.740	MetaParam_1: 0.016128	MetaParam_2: -0.053814	MetaParam_3: 0.008435
Train Episode: 167	Loss: 0.896066	Accuracy: 0.680	MetaParam_1: 0.016071	MetaParam_2: -0.054033	MetaParam_3: 0.008815
