Train Episode: 19	Loss: 2.449677	Accuracy: 0.190	Current Training Data: 26	Number of Tasks: 1	Loss 2: 4.711657	Accuracy 2: 0.000	Current Training Data Per Class 2: 10 	Number of Tasks 2: 1	 Total loss: 3.580667	 Total Accuracy: 0.095
Train Episode: 20	Loss: 3.383097	Accuracy: 0.130	Current Training Data: 6	Number of Tasks: 1	Loss 2: 3.804540	Accuracy 2: 0.150	Current Training Data Per Class 2: 9 	Number of Tasks 2: 1	 Total loss: 3.593818	 Total Accuracy: 0.140
Train Episode: 21	Loss: 2.550705	Accuracy: 0.400	Current Training Data: 23	Number of Tasks: 1	Loss 2: 3.935665	Accuracy 2: 0.000	Current Training Data Per Class 2: 5 	Number of Tasks 2: 1	 Total loss: 3.243185	 Total Accuracy: 0.200
Train Episode: 22	Loss: 2.428290	Accuracy: 0.230	Current Training Data: 36	Number of Tasks: 1	Loss 2: 3.956870	Accuracy 2: 0.000	Current Training Data Per Class 2: 38 	Number of Tasks 2: 1	 Total loss: 3.192580	 Total Accuracy: 0.115
Train Episode: 23	Loss: 4.540387	Accuracy: 0.000	Current Training Data: 6	Number of Tasks: 1	Loss 2: 3.079114	Accuracy 2: 0.200	Current Training Data Per Class 2: 13 	Number of Tasks 2: 1	 Total loss: 3.809751	 Total Accuracy: 0.100
Train Episode: 24	Loss: 3.708141	Accuracy: 0.000	Current Training Data: 23	Number of Tasks: 1	Loss 2: 2.457001	Accuracy 2: 0.200	Current Training Data Per Class 2: 24 	Number of Tasks 2: 1	 Total loss: 3.082571	 Total Accuracy: 0.100
Train Episode: 25	Loss: 3.214244	Accuracy: 0.000	Current Training Data: 31	Number of Tasks: 1	Loss 2: 2.771538	Accuracy 2: 0.200	Current Training Data Per Class 2: 14 	Number of Tasks 2: 1	 Total loss: 2.992891	 Total Accuracy: 0.100
Train Episode: 26	Loss: 3.342638	Accuracy: 0.000	Current Training Data: 35	Number of Tasks: 1	Loss 2: 2.806231	Accuracy 2: 0.200	Current Training Data Per Class 2: 17 	Number of Tasks 2: 1	 Total loss: 3.074435	 Total Accuracy: 0.100
Train Episode: 27	Loss: 2.415874	Accuracy: 0.200	Current Training Data: 36	Number of Tasks: 1	Loss 2: 4.987085	Accuracy 2: 0.000	Current Training Data Per Class 2: 12 	Number of Tasks 2: 1	 Total loss: 3.701480	 Total Accuracy: 0.100
Train Episode: 28	Loss: 3.064355	Accuracy: 0.200	Current Training Data: 24	Number of Tasks: 1	Loss 2: 3.676926	Accuracy 2: 0.000	Current Training Data Per Class 2: 30 	Number of Tasks 2: 1	 Total loss: 3.370640	 Total Accuracy: 0.100
